dateiname,titel,artist,enstehungszeit,objektbezeichnug,guid,entstehungszeit,objektbezeichnung
sgs_grs_marc_a-1949-709_001_s.jpg,Schöpfungsgeschichte II,Franz Marc,,,550B2FE0095342E8AEDF6DC4E12C7401,1914,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-b_001_s.jpg,Kleine Welten I,Wassily Kandinsky,,,3C1875BA72794EF7AAAFCDDE67932F24,1922,Druckgraphik
sgs_grs_stemmler_c-1968-1615_001_s.jpg,Winterlandschaft,Hermann Stemmler,,,F7CA04D87B634787908A49ED6E3A8BF7,vor 1914,Zeichnung
sgs_grs_vuillard_a-1986-6279_001_s.jpg,Jeux d' Enfants,Edouard Vuillard,,,3E42D66C68CB4A239550ECFD9E7EC533,1897,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-d_001_s.jpg,Kleine Welten II,Wassily Kandinsky,,,23BCC7B2461C406EA778C0DE95549430,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-e_001_s.jpg,Kleine Welten III,Wassily Kandinsky,,,FFC0493D35D342C6A59867AF28E9AF24,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-c_001_s.jpg,Kleine Welten IV,Wassily Kandinsky,,,F5859F9DEB7D401C812DFE3FB5A18081,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-a_001_s.jpg,Kleine Welten V,Wassily Kandinsky,,,D32BE6041AC04E8FA6F2B746294FC959,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-g_001_s.jpg,Kleine Welten VI,Wassily Kandinsky,,,FF14285365214671BFBF8EC8CE596A1E,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-f_001_s.jpg,Kleine Welten VII,Wassily Kandinsky,,,7CD6B7887F1F4A93B52EF72C97319BCC,1922,Druckgraphik
sgs_grs_kandinsky_a-1965-4278-h_001_s.jpg,Kleine Welten VIII,Wassily Kandinsky,,,07BDAB3158B9424BB1DFF97EE82A6D3A,1922,Druckgraphik
sgs_grs_rohlfs_a-1954-1620_001_s.jpg,Katze und Maus,Christian Rohlfs,,,B04C6694DB174AA18AA9635C8570D739,1912/13,Druckgraphik
sgs_grs_lange_a-2007-7487_001_s.jpg,Van Zantens glückliche Zeit (nach dem Roman von Laurids Bruun),Laurids Bruun,,,9E26234575E34BDB9D5B178A2D767524,1920,Mappenwerk
sgs_grs_dillis_c-1989-3614_001_s.jpg,Wolkenstudie,Johann Georg Dillis,,,751A34E3B1DC400CBF1DACD7BDB06A18,NaN,Zeichnung
sgs_mup_redon_3834_001_s.jpg,Kämpfender Engel,Odilon Redon,,,41E3E65A40004FC78CD4E638AF96A68F,um 1900,Gemälde
sgs_grs_hoelzel_c-1968-1641_001_s.jpg,Farbige Komposition mit figürlichen Elementen (Anbetung in Kreisform),Adolf Hölzel,,,1B29A948BED1405ABCCA8B58C00A52B5,um 1930,Zeichnung
NaN,Bauhaus-Drucke. Neue Europäische Graphik. 3te Mappe: Deutsche Künstler (Mappe),Otto Dorfner,,,287028806EC34156B1225191A0B9A707,1922,Druckgraphik
sgs_grs_hoelzel_c-1955-600-g_001_s.jpg,Farbige Komposition (Anbetung),Adolf Hölzel,,,B6C57198F52F4FA899196353EB6EA50E,1924,Zeichnung
sgs_grs_hoelzel_c-1955-600-h_001_s.jpg,Farbige Komposition (Anbetung),Adolf Hölzel,,,6AA274FB271A441ABE586DD62650154F,1930,Zeichnung
sgs_grs_hoelzel_c-1955-600-j_001_s.jpg,Farbige Komposition (Anbetung),Adolf Hölzel,,,7AED150BC89E4DD78F7C5B420E55023E,1926,Zeichnung
sgs_grs_morgner_c-1952-444_001_s.jpg,Astrale Komposition 23,Wilhelm Morgner,,,ADE4DF5CDB7447AD9EA9378F4A8CC03D,1912,Zeichnung
sgs_grs_molitor_c-3904_001_s.jpg,"Landschaft mit Wasserfall, Mann und Lasttieren",Martin von Molitor,,,BBE3519180A14D3684E5C981549C3A7B,um 1800,Zeichnung
sgs_grs_anonym_c-1990-3833_001_s.jpg,"Landschaft mit Bauernhaus, Kühen und Frau mit Kind",Jean Jacques de Boissieu (Umkreis),,,1F52DA2B51EF4C5DADE43569C1E4F242,um 1800,Zeichnung
sgs_grs_oudry_c-1859_001_s.jpg,Landschaft,"Anonym, Frankreich 1. Hälfte 18. Jh.",,,BDAF478F9E864130A7F1CB6A51BB7326,1. Hälfte 18. Jh.,Zeichnung
sgs_grs_kirschner_c-5728_001_s.jpg,Blumenkorb,Friedrich Kirschner,,,24E6D4DDF81E47FEAB61BF8E11683BA9,1771,Zeichnung
sgs_grs_richter_c-2017-5756-163_001_s.jpg,Wolkenhimmel über Berglandschaft,Werner Sumowski,,,5BBF5A1DDC444EDA9C347599AF58BB0E,um 1833,Zeichnung
sgs_mup_widmayer_3835_o01_s.jpg,Bergige Landschaft,Paul Widmayer,,,B08B0B8BABE44FE491022F47B19D275B,1881,Gemälde
sgs_grs_delaunay_d-1963-262-3_001_s.jpg,"Vue aérienne de la Tour (Blatt 3 in: Joseph Delteil, ALLO! PARIS!)",Joseph Delteil,,,FCB49A4CC0AE403EAA85B90FD7FF33A4,1926,Druckgraphik
sgs_grs_hoelzel_c-1918-32_001_s.jpg,Studie (Fensterentwurf),Adolf Hölzel,,,91DEB03D98D347FFBB06AC3E412139D5,1918,Zeichnung
sgs_grs_kandinsky_1970-16636-1_001_s.jpg,Zwei Reiter vor Rot (Blatt 1 in: Klänge),Wassily Kandinsky,,,96310044242A419D8BEA842D1E9BD26D,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-5_001_s.jpg,Lyrisches (Blatt 5 in: Klänge),Wassily Kandinsky,,,5195750231CD491BB8B705ABD88375F8,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-7_001_s.jpg,Zwei Frauen in Mondlandschaft (Blatt 7 in: Klänge),Wassily Kandinsky,,,EB9748DD5D3D41B59868D5043F3F61D0,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-8_001_s.jpg,Variation nach »Improvisation 21« (Blatt 8 in: Klänge),Wassily Kandinsky,,,DFA64AD69A0649B0ADA4E34A2AA0B348,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-13_001_s.jpg,Motiv aus »Improvisation 25« (Blatt 13 in: Klänge),Wassily Kandinsky,,,97796D507C1543CD854062F9249D454A,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-15_001_s.jpg,Orientalisches (Blatt 15 in: Klänge),Wassily Kandinsky,,,A5884FCC519A4053A79FEE4ECC7571B3,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-16_001_s.jpg,"Drei Reiter in Rot, Blau und Schwarz (Blatt 16 in: Klänge)",Wassily Kandinsky,,,B3C973488230465098D1AD478E840D32,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-21_001_s.jpg,Reiterweg (Blatt 21 in: Klänge),Wassily Kandinsky,,,37F1440E55C1492084CF657808F024F4,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-23_001_s.jpg,Weißer Klang (Blatt 23 in: Klänge),Wassily Kandinsky,,,6F5AB1B256F5452BA24417E3802D5027,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-25_001_s.jpg,Kahnfahrt (Blatt 25 in: Klänge),Wassily Kandinsky,,,74D5803C8A6A49309ECB6F8D5FF79043,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-32_001_s.jpg,Berge (Blatt 32 in: Klänge),Wassily Kandinsky,,,A0A76F841AA94BF8B943F286C825FC99,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-34_001_s.jpg,Improvisation 7 (Blatt 34 in: Klänge),Wassily Kandinsky,,,E62E27A24EEF4ED1841A461260F4078D,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-36_001_s.jpg,Apfelbaum (Blatt 36 in: Klänge),Wassily Kandinsky,,,39D9FAAC0DB442769842836C294B5F29,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-45_001_s.jpg,Allerheiligen (Blatt 45 in: Klänge),Wassily Kandinsky,,,F2F8581CD3A94EA39ABF1417DF9A58D5,1911 (1913),Druckgraphik
sgs_grs_kandinsky_1970-16636-48_001_s.jpg,Landschaft mit Figuren und Kruzifix (Blatt 48 in: Klänge),Wassily Kandinsky,,,4BEBAAC8F0944302B67C3B10FEAACDF7,1911 (1913),Druckgraphik
